Unnamed: 0,HMDB,Symbol,Direction,MetName,Transport,T_direction,Reversibility,DB,Type
18524,HMDB0059655,PHGDH,1,2-Hydroxyglutarate,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21107,HMDB0006242,ALDH3A1,-1,"3,4-Dihydroxymandelaldehyde",unknown,unknown,irreversible,ReconProductionDegradation,met_est
21117,HMDB0000042,ALDH3A1,1,Acetic acid,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21116,HMDB0001487,ALDH3A1,1,NADH,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21115,HMDB0000663,ALDH3A1,1,Glucaric acid,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21114,HMDB0002820,ALDH3A1,1,Methylimidazoleacetic acid,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21112,HMDB0000115,ALDH3A1,1,Glycolic acid,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21111,HMDB0000190,ALDH3A1,1,L-Lactic acid,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21110,HMDB0042048,ALDH3A1,1,Trichloroacetic acid,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21109,HMDB0003791,ALDH3A1,-1,"3,4-Dihydroxyphenylacetaldehyde",unknown,unknown,irreversible,ReconProductionDegradation,met_est
21105,HMDB0004061,ALDH3A1,-1,3-Methoxy-4-hydroxyphenylglycolaldehyde,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21103,HMDB0000990,ALDH3A1,-1,Acetaldehyde,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21102,HMDB0006458,ALDH3A1,-1,D-Lactaldehyde,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21101,HMDB0004181,ALDH3A1,-1,Methylimidazole acetaldehyde,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21100,HMDB0041610,ALDH3A1,-1,"(2,2-Diethoxyethyl)benzene",unknown,unknown,irreversible,ReconProductionDegradation,met_est
21099,HMDB0003344,ALDH3A1,-1,Glycolaldehyde,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21098,HMDB0003052,ALDH3A1,-1,Lactaldehyde,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21097,HMDB0006355,ALDH3A1,-1,"D-Glucurono-6,3-lactone",unknown,unknown,irreversible,ReconProductionDegradation,met_est
21096,HMDB0060451,ALDH3A1,-1,Chloral hydrate,unknown,unknown,irreversible,ReconProductionDegradation,met_est
21120,HMDB0000291,ALDH3A1,1,Vanillylmandelic acid,unknown,unknown,irreversible,ReconProductionDegradation,met_est
