symbol	hmdb_id	name
STAT3	HMDB0248129	Alectinib
MCL1	HMDB0244472	Sapanisertib
DRD5	HMDB0015172	Carphenazine
DRD2	HMDB0015172	Carphenazine
CHRM1	HMDB0015013	Flupenthixol
DRD2	HMDB0015013	Flupenthixol
ADRA1A	HMDB0015013	Flupenthixol
STAT3	HMDB0250717	Momelotinib
CNR1	HMDB0253749	4-Nitrophenyl 4-[bis(2H-1,3-benzodioxol-5-yl)(hydroxy)methyl]piperidine-1-carboxylate
AR	HMDB0248608	ARN-509
PPARG	HMDB0062737	(9E)-10-nitrooctadecenoic Acid
DRD4	HMDB0253378	Isopropyl dodecylfluorophosphonate
BDKRB1	HMDB0253378	Isopropyl dodecylfluorophosphonate
PROKR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
MLNR	HMDB0253378	Isopropyl dodecylfluorophosphonate
GNRHR	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR63	HMDB0253378	Isopropyl dodecylfluorophosphonate
KISS1R	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPRD1	HMDB0253378	Isopropyl dodecylfluorophosphonate
PRLHR	HMDB0253378	Isopropyl dodecylfluorophosphonate
GHSR	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR83	HMDB0253378	Isopropyl dodecylfluorophosphonate
MC3R	HMDB0253378	Isopropyl dodecylfluorophosphonate
PTGER2	HMDB0253378	Isopropyl dodecylfluorophosphonate
MCHR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
GALR3	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPN1SW	HMDB0253378	Isopropyl dodecylfluorophosphonate
SSTR4	HMDB0253378	Isopropyl dodecylfluorophosphonate
NMUR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
HRH4	HMDB0253378	Isopropyl dodecylfluorophosphonate
APLNR	HMDB0253378	Isopropyl dodecylfluorophosphonate
TAAR5	HMDB0253378	Isopropyl dodecylfluorophosphonate
NMBR	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR2B	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR45	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPRK1	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR84	HMDB0253378	Isopropyl dodecylfluorophosphonate
SSTR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR65	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR161	HMDB0253378	Isopropyl dodecylfluorophosphonate
ACKR3	HMDB0253378	Isopropyl dodecylfluorophosphonate
AGTR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR6	HMDB0253378	Isopropyl dodecylfluorophosphonate
TAAR6	HMDB0253378	Isopropyl dodecylfluorophosphonate
TAAR8	HMDB0253378	Isopropyl dodecylfluorophosphonate
TAAR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR2C	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR119	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPFFR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADRA2A	HMDB0253378	Isopropyl dodecylfluorophosphonate
MCHR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR26	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR5A	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR6	HMDB0253378	Isopropyl dodecylfluorophosphonate
PTGIR	HMDB0253378	Isopropyl dodecylfluorophosphonate
CCR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
CCR5	HMDB0253378	Isopropyl dodecylfluorophosphonate
PTGER1	HMDB0253378	Isopropyl dodecylfluorophosphonate
SSTR5	HMDB0253378	Isopropyl dodecylfluorophosphonate
CCKAR	HMDB0253378	Isopropyl dodecylfluorophosphonate
CCR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
RHO	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR85	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR101	HMDB0253378	Isopropyl dodecylfluorophosphonate
AVPR1A	HMDB0253378	Isopropyl dodecylfluorophosphonate
GALR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
MC4R	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR22	HMDB0253378	Isopropyl dodecylfluorophosphonate
PTGER4	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR27	HMDB0253378	Isopropyl dodecylfluorophosphonate
PTGDR	HMDB0253378	Isopropyl dodecylfluorophosphonate
NTSR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
PROKR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
CXCR6	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADORA2B	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADRB2	HMDB0253378	Isopropyl dodecylfluorophosphonate
NMUR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
DRD5	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR37	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADRA1B	HMDB0253378	Isopropyl dodecylfluorophosphonate
LTB4R	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR1E	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPFFR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADORA1	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR151	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR148	HMDB0253378	Isopropyl dodecylfluorophosphonate
TRHR	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR88	HMDB0253378	Isopropyl dodecylfluorophosphonate
EDNRA	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR1A	HMDB0253378	Isopropyl dodecylfluorophosphonate
MC5R	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR62	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR1F	HMDB0253378	Isopropyl dodecylfluorophosphonate
UTS2R	HMDB0253378	Isopropyl dodecylfluorophosphonate
OXTR	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR39	HMDB0253378	Isopropyl dodecylfluorophosphonate
RXFP3	HMDB0253378	Isopropyl dodecylfluorophosphonate
GALR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPBWR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR173	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPY2R	HMDB0253378	Isopropyl dodecylfluorophosphonate
CCR4	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR19	HMDB0253378	Isopropyl dodecylfluorophosphonate
MC2R	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR142	HMDB0253378	Isopropyl dodecylfluorophosphonate
CCKBR	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADORA2A	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPRL1	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR7	HMDB0253378	Isopropyl dodecylfluorophosphonate
AVPR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPY5R	HMDB0253378	Isopropyl dodecylfluorophosphonate
HRH3	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADRB3	HMDB0253378	Isopropyl dodecylfluorophosphonate
PTGER3	HMDB0253378	Isopropyl dodecylfluorophosphonate
SSTR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
CCR9	HMDB0253378	Isopropyl dodecylfluorophosphonate
LPAR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPSR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR4	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPY1R	HMDB0253378	Isopropyl dodecylfluorophosphonate
DRD2	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPN3	HMDB0253378	Isopropyl dodecylfluorophosphonate
AVPR1B	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR37L1	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR52	HMDB0253378	Isopropyl dodecylfluorophosphonate
TAAR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
RXFP4	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADRB1	HMDB0253378	Isopropyl dodecylfluorophosphonate
CNR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPBWR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
HTR1B	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPN1LW	HMDB0253378	Isopropyl dodecylfluorophosphonate
NTSR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
LPAR3	HMDB0253378	Isopropyl dodecylfluorophosphonate
BRS3	HMDB0253378	Isopropyl dodecylfluorophosphonate
PTGFR	HMDB0253378	Isopropyl dodecylfluorophosphonate
HCRTR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPN5	HMDB0253378	Isopropyl dodecylfluorophosphonate
FFAR4	HMDB0253378	Isopropyl dodecylfluorophosphonate
AGTR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPN4	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR21	HMDB0253378	Isopropyl dodecylfluorophosphonate
HCRTR1	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR3	HMDB0253378	Isopropyl dodecylfluorophosphonate
NPY4R	HMDB0253378	Isopropyl dodecylfluorophosphonate
CNR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
EDNRB	HMDB0253378	Isopropyl dodecylfluorophosphonate
HRH2	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADRA1D	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR150	HMDB0253378	Isopropyl dodecylfluorophosphonate
GRPR	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADRA1A	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR12	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR78	HMDB0253378	Isopropyl dodecylfluorophosphonate
DRD3	HMDB0253378	Isopropyl dodecylfluorophosphonate
QRFPR	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR135	HMDB0253378	Isopropyl dodecylfluorophosphonate
LPAR2	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR61	HMDB0253378	Isopropyl dodecylfluorophosphonate
ADRA2C	HMDB0253378	Isopropyl dodecylfluorophosphonate
CXCR4	HMDB0253378	Isopropyl dodecylfluorophosphonate
TBXA2R	HMDB0253378	Isopropyl dodecylfluorophosphonate
OPRM1	HMDB0253378	Isopropyl dodecylfluorophosphonate
LTB4R2	HMDB0253378	Isopropyl dodecylfluorophosphonate
CCR3	HMDB0253378	Isopropyl dodecylfluorophosphonate
MC1R	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR176	HMDB0253378	Isopropyl dodecylfluorophosphonate
GPR139	HMDB0253378	Isopropyl dodecylfluorophosphonate
NOTCH1	HMDB0244287	Silmitasertib
ADRA2A	HMDB0247660	N-(2-(3-(Piperazin-1-ylmethyl)imidazo[2,1-b]thiazol-6-yl)phenyl)quinoxaline-2-carboxamide
CHRM1	HMDB0247660	N-(2-(3-(Piperazin-1-ylmethyl)imidazo[2,1-b]thiazol-6-yl)phenyl)quinoxaline-2-carboxamide
CHRM2	HMDB0247660	N-(2-(3-(Piperazin-1-ylmethyl)imidazo[2,1-b]thiazol-6-yl)phenyl)quinoxaline-2-carboxamide
SSTR5	HMDB0015601	Vapreotide
TACR1	HMDB0015601	Vapreotide
SSTR2	HMDB0015601	Vapreotide
NR1I2	HMDB0258157	1,2,2,4,5,6,7,8,8-Nonachloro-2,3,3a,4,7,7a-hexahydro-4,7-methano-1H-indene
BCL2	HMDB0244875	4-(1,3-Dihydroxy-4,4,5,5-tetramethyl-imidazolidin-2-yl)benzoic acid
HRH1	HMDB0015670	Alcaftadine
MCL1	HMDB0252659	Pictilisib
MCL1	HMDB0247677	Buparlisib
MCHR1	HMDB0254417	Melanin-concentrating hormone
MCHR2	HMDB0254417	Melanin-concentrating hormone
DRD4	HMDB0251796	Endothelin 1 swine, human
BDKRB1	HMDB0251796	Endothelin 1 swine, human
PROKR2	HMDB0251796	Endothelin 1 swine, human
MLNR	HMDB0251796	Endothelin 1 swine, human
GNRHR	HMDB0251796	Endothelin 1 swine, human
GPR63	HMDB0251796	Endothelin 1 swine, human
KISS1R	HMDB0251796	Endothelin 1 swine, human
OPRD1	HMDB0251796	Endothelin 1 swine, human
PRLHR	HMDB0251796	Endothelin 1 swine, human
GHSR	HMDB0251796	Endothelin 1 swine, human
GPR83	HMDB0251796	Endothelin 1 swine, human
MC3R	HMDB0251796	Endothelin 1 swine, human
PTGER2	HMDB0251796	Endothelin 1 swine, human
MCHR1	HMDB0251796	Endothelin 1 swine, human
GALR3	HMDB0251796	Endothelin 1 swine, human
OPN1SW	HMDB0251796	Endothelin 1 swine, human
SSTR4	HMDB0251796	Endothelin 1 swine, human
NMUR2	HMDB0251796	Endothelin 1 swine, human
HRH4	HMDB0251796	Endothelin 1 swine, human
APLNR	HMDB0251796	Endothelin 1 swine, human
TAAR5	HMDB0251796	Endothelin 1 swine, human
NMBR	HMDB0251796	Endothelin 1 swine, human
HTR2B	HMDB0251796	Endothelin 1 swine, human
